id,career_family,career,institution,location,institution_type,management_type,duration_years,annual_cost,admission_rate,monthly_income,scholarships,admitted,applicants,enrolled
1,Educación Inicial,Educación Inicial,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,180.0,65.0,0.0,NO,30.0,46.0,30.0
2,Educación Primaria,Educación Primaria,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,90.0,0.0,0.0,SI,0.0,0.0,7.0
3,Educación Secundaria,Educación en Computación e Informática,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,90.0,0.0,0.0,SI,0.0,0.0,0.0
4,Educación Secundaria,"Educación Secundaria - Ciencia, Tecnología y Ambiente",13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,180.0,0.0,0.0,SI,0.0,0.0,6.0
5,Educación Secundaria,Educación Secundaria - Ciencias Sociales,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,90.0,0.0,0.0,SI,0.0,0.0,0.0
6,Educación Secundaria,Educación Secundaria - Comunicación,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,90.0,0.0,0.0,SI,0.0,0.0,0.0
7,Ciencias de la Computación,Computación e Informática,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,3.0,90.0,0.0,0.0,SI,0.0,0.0,0.0
8,Ingeniería en Industrias Alimentarias,Industrias Alimentarias,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,3.0,220.0,0.0,0.0,NO,0.0,0.0,22.0
9,Contabilidad y Finanzas,Contabilidad,24 De Julio De Zarumilla,Tumbes       ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,49.0,49.0,116.0
10,Ciencias de la Computación,Computación e Informática,24 De Julio De Zarumilla,Tumbes       ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,48.0,48.0,117.0
11,Ingeniería Mecánica,Mecánica Automotriz,24 De Julio De Zarumilla,Tumbes       ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,38.0,38.0,82.0
12,Agropecuaria,Producción Agropecuaria,24 De Julio De Zarumilla,Tumbes       ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,15.0,15.0,45.0
13,Enfermería,Enfermería Técnica,24 De Julio De Zarumilla,Tumbes       ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,38.0,38.0,88.0
14,Contabilidad y Finanzas,Contabilidad,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,240.0,33.0,0.0,NO,40.0,121.0,255.0
15,Ciencias de la Computación,Computación e Informática,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,480.0,95.0,0.0,NO,41.0,43.0,192.0
16,Ingeniería en Industrias Alimentarias,Industrias Alimentarias,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,240.0,100.0,0.0,NO,37.0,37.0,190.0
17,Ingeniería Mecánica,Mecánica Automotriz,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,240.0,58.0,0.0,NO,41.0,70.0,195.0
18,Ingeniería Civil,Construcción Civil,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,240.0,48.0,0.0,NO,39.0,80.0,206.0
19,Agropecuaria,Producción Agropecuaria,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,480.0,100.0,0.0,NO,37.0,37.0,210.0
20,Enfermería,Enfermería Técnica,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,480.0,62.0,0.0,NO,37.0,59.0,209.0
21,Tecnología Médica,Laboratorio Clínico,4 De Junio De 1821,Cajamarca    ,Instituto,Pública,3.0,240.0,94.0,0.0,NO,35.0,37.0,199.0
22,Ingeniería Mecánica,Mantenimiento de Maquinaria Pesada,9 De Mayo,Junín        ,Instituto,Pública,3.0,200.0,62.0,0.0,SI,40.0,64.0,106.0
23,Ingeniería Textil y Confecciones,Diseño de Modas,9 De Mayo,Junín        ,Instituto,Pública,3.0,200.0,100.0,0.0,SI,16.0,16.0,29.0
24,Agropecuaria,Producción Agropecuaria,9 De Mayo,Junín        ,Instituto,Pública,3.0,220.0,100.0,0.0,SI,22.0,22.0,37.0
25,Secretariado,Secretariado Ejecutivo,Abaco,Piura        ,Instituto,Privada,3.0,,75.0,0.0,SI,25.0,33.0,25.0
26,Ciencias de la Computación,Computación e Informática,Abaco,Piura        ,Instituto,Privada,3.0,,92.0,1796.0,SI,53.0,57.0,53.0
27,Ciencias de la Computación,Computación e Informática,Abaco - Chiclayo,Lambayeque   ,Instituto,Privada,3.0,,82.0,0.0,SI,51.0,62.0,51.0
28,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración Turística,Abaco - Cusco,Cusco        ,Instituto,Privada,3.0,1940.0,90.0,0.0,SI,96.0,106.0,229.0
29,Ciencias de la Computación,Computación e Informática,Abaco - Cusco,Cusco        ,Instituto,Privada,3.0,1940.0,89.0,0.0,SI,82.0,92.0,185.0
30,Administración de Empresas,Administración de Empresas,Abaco - Piura,Piura        ,Instituto,Privada,3.0,,100.0,0.0,SI,75.0,75.0,75.0
31,Secretariado,Secretariado Ejecutivo,Abaco - Piura,Piura        ,Instituto,Privada,3.0,,100.0,0.0,SI,25.0,25.0,113.0
32,Ciencias de la Computación,Computación e Informática,Abaco - Piura,Piura        ,Instituto,Privada,3.0,,100.0,0.0,SI,275.0,275.0,328.0
33,Ingeniería Industrial,Salud y Seguridad Ocupacional,Abaco - Piura,Piura        ,Instituto,Privada,3.0,,0.0,0.0,SI,0.0,0.0,0.0
34,Ciencias de la Computación,Computación e Informática,Abancay,Apurímac     ,Instituto,Pública,3.0,240.0,68.0,0.0,SI,40.0,58.0,197.0
35,Ingeniería Civil,Construcción Civil,Abancay,Apurímac     ,Instituto,Pública,3.0,600.0,22.0,0.0,SI,40.0,181.0,255.0
36,Agropecuaria,Producción Agropecuaria,Abancay,Apurímac     ,Instituto,Pública,3.0,130.0,80.0,0.0,SI,40.0,50.0,218.0
37,Enfermería,Enfermería Técnica,Abancay,Apurímac     ,Instituto,Pública,3.0,480.0,37.0,0.0,SI,40.0,106.0,281.0
38,"Administración de Servicios Turísticos, Hotelería y Gastronomía",Administración de Servicios de Hostelería,Abc Informática,Lima         ,Instituto,Privada,3.0,2200.0,32.0,0.0,SI,8.0,25.0,8.0
