id,career_family,career,institution,location,institution_type,management_type,duration_years,annual_cost,admission_rate,monthly_income,scholarships,admitted,applicants,enrolled,duration_imputed_flag,monthly_income_imputed_flag,annual_cost_imputed_flag,admission_rate_imputed_flag,duration_years_imputed,monthly_income_imputed,annual_cost_imputed,admission_rate_imputed,income_score,admission_score,cost_score,duration_score
1,Educación Inicial,Educación Inicial,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,180.0,65.0,0.0,NO,30.0,46.0,30.0,False,True,False,False,5.0,1442.0,180.0,65.0,0.0648095508811825,0.0026465798045602605,0.9944666461727636,0.9433962264150944
2,Educación Primaria,Educación Primaria,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,90.0,0.0,0.0,SI,0.0,0.0,7.0,False,True,False,True,5.0,1955.0,90.0,66.0,0.16202387720295622,0.002687296416938111,0.9972333230863818,0.9433962264150944
3,Educación Secundaria,Educación en Computación e Informática,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,90.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,5.0,1748.0,90.0,94.0,0.12279704377487209,0.003827361563517915,0.9972333230863818,0.9433962264150944
4,Educación Secundaria,"Educación Secundaria - Ciencia, Tecnología y Ambiente",13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,180.0,0.0,0.0,SI,0.0,0.0,6.0,False,True,False,True,5.0,1748.0,180.0,94.0,0.12279704377487209,0.003827361563517915,0.9944666461727636,0.9433962264150944
5,Educación Secundaria,Educación Secundaria - Ciencias Sociales,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,90.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,5.0,1748.0,90.0,94.0,0.12279704377487209,0.003827361563517915,0.9972333230863818,0.9433962264150944
6,Educación Secundaria,Educación Secundaria - Comunicación,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,5.0,90.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,5.0,1748.0,90.0,94.0,0.12279704377487209,0.003827361563517915,0.9972333230863818,0.9433962264150944
7,Ciencias de la Computación,Computación e Informática,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,3.0,90.0,0.0,0.0,SI,0.0,0.0,0.0,False,True,False,True,3.0,2156.0,90.0,89.0,0.20011370096645822,0.0036237785016286646,0.9972333230863818,0.9811320754716981
8,Ingeniería en Industrias Alimentarias,Industrias Alimentarias,13 De Julio De 1882,Cajamarca    ,Instituto,Pública,3.0,220.0,0.0,0.0,NO,0.0,0.0,22.0,False,True,False,True,3.0,2067.0,220.0,100.0,0.18324805760848967,0.004071661237785016,0.9932370119889333,0.9811320754716981
9,Contabilidad y Finanzas,Contabilidad,24 De Julio De Zarumilla,Tumbes       ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,49.0,49.0,116.0,False,True,False,False,3.0,1729.5,240.0,100.0,0.1192912639757438,0.004071661237785016,0.9926221948970181,0.9811320754716981
10,Ciencias de la Computación,Computación e Informática,24 De Julio De Zarumilla,Tumbes       ,Instituto,Pública,3.0,240.0,100.0,0.0,SI,48.0,48.0,117.0,False,True,False,False,3.0,2156.0,240.0,100.0,0.20011370096645822,0.004071661237785016,0.9926221948970181,0.9811320754716981
